Designator,Mid X,Mid Y,Rotation,Layer
A1,129.0,-42.0,0.0,top
C1,46.86,-67.86,180.0,top
C10,186.02,-56.41,180.0,top
C11,192.99,-56.44,180.0,top
C12,214.99,-56.44,180.0,top
C13,221.96,-67.23,180.0,top
C14,243.96,-67.22,180.0,top
C15,243.96,-98.56,180.0,top
C16,221.96,-98.56,180.0,top
C17,215.0,-87.81,180.0,top
C18,192.99,-87.81,180.0,top
C19,186.02,-87.83,180.0,top
C2,68.82,-67.98,180.0,top
C20,164.0,-87.82,180.0,top
C21,159.41,-98.91,180.0,top
C22,137.46,-98.92,180.0,top
C23,142.02,-132.42,180.0,top
C24,120.02,-132.4,180.0,top
C25,114.96,-47.46,0.0,top
C26,149.72,-124.22,180.0,top
C27,171.22,-124.15,180.0,top
C3,75.91,-67.97,180.0,top
C4,97.92,-68.0,180.0,top
C5,102.52,-79.38,180.0,top
C6,124.53,-79.39,180.0,top
C7,137.46,-67.94,180.0,top
C8,159.47,-67.94,180.0,top
C9,164.01,-56.43,180.0,top
J1,125.5475,-103.85,270.0,top
LED1,48.725,-65.05,270.0,top
LED10,184.92,-53.46,270.0,top
LED11,194.89,-53.46,270.0,top
LED12,213.89,-53.46,270.0,top
LED13,223.86,-64.42,270.0,top
LED14,242.86,-64.42,270.0,top
LED15,242.86,-95.76,270.0,top
LED16,223.86,-95.76,270.0,top
LED17,213.89,-85.04,270.0,top
LED18,194.89,-85.04,270.0,top
LED19,184.92,-85.04,270.0,top
LED2,67.725,-65.05,270.0,top
LED20,164.42,-85.04,270.0,top
LED21,158.36,-96.15,270.0,top
LED22,139.36,-96.15,270.0,top
LED23,140.92,-129.62,270.0,top
LED24,121.92,-129.62,270.0,top
LED25,151.0,-121.5,270.0,top
LED26,170.0,-121.5,270.0,top
LED3,77.82,-65.17,270.0,top
LED4,96.82,-65.08,270.0,top
LED5,104.42,-76.52,270.0,top
LED6,123.42,-76.52,270.0,top
LED7,139.36,-65.11,270.0,top
LED8,158.36,-65.11,270.0,top
LED9,165.92,-53.46,270.0,top
R1,111.22,-43.61,0.0,top
R2,125.23,-117.48,180.0,top
SW1,55.5,-43.0,90.0,top
SW10,148.86,-65.11,180.0,top
SW11,175.42,-53.46,180.0,top
SW12,204.39,-53.46,180.0,top
SW13,233.36,-64.42,180.0,top
SW14,148.86,-96.15,180.0,top
SW15,175.42,-85.04,180.0,top
SW16,204.39,-85.04,180.0,top
SW17,233.36,-95.76,180.0,top
SW18,131.42,-129.62,180.0,top
SW2,65.5,-43.0,90.0,top
SW3,75.5,-43.0,90.0,top
SW4,160.5,-121.5,180.0,top
SW5,88.5,-43.0,90.0,top
SW6,98.5,-43.0,90.0,top
SW7,58.225,-65.05,180.0,top
SW8,87.32,-65.17,180.0,top
SW9,113.92,-76.52,180.0,top
U1,115.36,-44.52,180.0,top
